street_name,cleaning_day
BRADLEY CT,Friday
BRUCEWOOD DR,Friday
CIRCLE DR,Friday
CONNECTING RD,Friday
CONNOR RD,Friday
CRESTVIEW MANOR DR,Friday
EISENHOWER DR,Friday
FORESTVIEW DR,Friday
HALSEY CT,Friday
HAZEL DR,Friday
HEMLOCK ST,Friday
RIGHRIDGE CIR,Friday
HOODRIDGE DR,Friday
JEFFERSON DR,Friday
KEWANNA AVE,Friday
KINGSBERRY CIR,Friday
LADORA LN,Friday
LEBANON HILLS DR,Friday
LEMOYNE AVE,Friday
LYNN HAVEN DR,Friday
MACARTHUR DR,Friday
MAIN ENTRANCE DR,Friday
MARGARETTA AVE,Friday
MARSHALL DR,Friday
MISSION DR,Friday
MOHICAN DR,Friday
MT LEBANON BLVD,Friday
NAVAHOE DR,Friday
OAKWOOD DR,Friday
ORCHARD DR,Friday
OREGON TRL,Friday
OUTLOOK DR,Friday
PARK ENTRANCE DR,Friday
PARKWAY DR,Friday
PENNSYLVANIA BLVD (WEST OF T),Friday
PIPER DR,Friday
POPLAR DR,Friday
PUEBLO DR,Friday
QUEENSBERRY CIR,Friday
RIDGEVIEW DR,Friday
RIDGWAY CT,Friday
ROCK HAVEN LN,Friday
ROCKLYNN PL,Friday
ROCKWOOD AVE,Friday
ROYAL CT,Friday
ROYCROFT AVE,Friday
SHERWIN AVE,Friday
SKYLARK CIR,Friday
SPRUCEWOOD DR,Friday
ST CLAIR DR,Friday
STILWELL CT,Friday
SUNRIDGE DR,Friday
SYRACUSE AVE,Friday
TERRACE DR,Friday
THORNBERRY CIR,Friday
VALLEVISTA AVE,Friday
VALLIMONT DR,Friday
VERMONT AVE,Friday
WAINWRIGHT DR,Friday
WHITE OAK CIR,Friday
WHITMORE ST,Friday
WILLOW HEATH DR,Friday
WOODLAND DR,Friday
